Количество,Вид изделия,Дата,Дата заказа AR,Заказ,Поставщик,Статус,Тип,Цвет,Швея
"Чехлы технические из мулетона  на стол 200 на 100 -13шт, 240 на 100 -29 шт,  ",Технический чехол,"August 19, 2025",,,,Отшито,Пошив,,Людмила
Скатерть круг 330 см 2 шт,Скатерти круглые,"August 11, 2025","August 12, 2025",Срочный заказ,,Отшито,Пошив,999-46 Зеленый малахит,Кристина
"Чехлы технические из мулетона  на стол 180 на 90-16 шт , 200 на 100-  20шт",Технический чехол,"August 30, 2025",,,,Отшито,Пошив,,Людмила
Пуф арка мини  20 шт,Пуф боу,"September 12, 2025","September 13, 2025",Срочный заказ,,Отшито,Пошив,999-98 Темная ночь бархат,Елена
Пуф арка мини  19 шт,Пуф боу,"September 12, 2025","September 13, 2025",Срочный заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Елена
Техник Чехол на стул кьявари 5 шт,Технический чехол,"February 19, 2026",,,,Изготовление,Пошив,Габардин,Елена
Прямоуг скатерть 300 на 410 3 шт,Скатерти прямоугольные,"August 27, 2025","August 28, 2025",Срочный заказ,,Отшито,Пошив,Sofia-94 Сливочный канвас,Кристина
скатерть прямоуг 300 на 410 1 шт,Скатерти прямоугольные,"August 27, 2025","October 1, 2025",Есть заказ,,Отшито,Пошив,312-96 Сиреневая дымка бархат,Кристина
Пуф круг 80 см - 4 шт и 60 см -10шт,Пуф круг,"August 29, 2025","August 30, 2025",Срочный заказ,,Отшито,Пошив,999-101 Спелая дыня,Людмила
Сидушка 102шт,Чехлы Марсель,"September 11, 2025","September 12, 2025",Срочный заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Людмила
Сидушка 21шт,Чехлы Марсель,"September 15, 2025","September 17, 2025",Срочный заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Людмила
"Спинка 102 шт ПЕРЕШИВ МОЛНИИ ",Чехлы Марсель,"October 9, 2025",,,,Не заказано,Пошив,312-8 Жемчужный бархат,Елена
Пуф круг 80 см - 3шт и 60 см -3 шт (но лучше по 5+5),Пуф круг,"January 15, 2026",,,,Не заказано,Пошив,Мех букле белый,Кристина
"Спинка 22 шт с НОВОЙ МОЛНИЕЙ ",Чехлы Марсель,"September 16, 2025","September 17, 2025",Срочный заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Елена
Спинка и сидушка 80 шт,Чехлы Марсель,"September 29, 2025","September 30, 2025",Срочный заказ,,Отшито,Пошив,312-40 Светло зеленый бархат,Елена
Красный дракон 86 шт,Чехлы Марсель,"September 17, 2025","September 18, 2025",Срочный заказ,,Отшито,Пошив,312-73 Красный дракон бархат,Валентина
Сидушка 87 шт,Чехлы Марсель,"September 17, 2025","September 18, 2025",Срочный заказ,,Отшито,Пошив,312-125 Гранатовый бархат,Людмила
Спинки 87 шт,Чехлы Марсель,"September 17, 2025","September 18, 2025",Срочный заказ,,Отшито,Пошив,312-125 Гранатовый бархат,Елена
"Ремонт Спинка марсель  все что есть,(около 50) ПЕРЕШИВ МОЛНИИ",Чехлы Марсель,"February 26, 2026","February 28, 2026",Срочный заказ,,Изготовление,Пошив,312-125 Гранатовый бархат,Елена
Квадро пуфы. 5шт,Пуф квадро,"September 26, 2025","September 27, 2025",Срочный заказ,,Отшито,Пошив,777-103 Аквамарин бархат,Людмила
Скатерть круг 330 см  20 шт,Скатерти круглые,"January 15, 2026",,,,Изготовление,Пошив,000-Габардин снежный,Кристина
Салфетка 70 шт,Салфетки,"January 15, 2026",,,,Изготовление,Пошив,000-Габардин снежный,Кристина
скатерть круг 330см -12шт,Скатерти круглые,"October 9, 2025","October 17, 2025",Есть заказ,,Отшито,Пошив,312-58 Янтарный,Кристина
Пуф арка макс 10 шт и мини 4 шт,Пуф боу,"October 3, 2025","October 4, 2025",Срочный заказ,,Отшито,Пошив,312-89 Зеленый чай бархат,Елена
салфетка 20шт(или сколько выйдет) обычный уголок,Салфетки,"October 2, 2025","October 3, 2025",Срочный заказ,,Отшито,Пошив,Охровый габардин,Кристина
"Скатерть прямоугольного 2 шт ",Скатерти прямоугольные,"October 3, 2025","October 4, 2025",Срочный заказ,,Отшито,Пошив,312-61 Гранатовый бархат,Елена
Салфетки 60шт,Салфетки,"October 2, 2025","October 3, 2025",Срочный заказ,,Отшито,Пошив,312-61 Гранатовый бархат,Кристина
"Чехлы (полный комплект) 50 шт ",Чехлы Марсель,"October 26, 2025","October 27, 2025",Срочный заказ,,Отшито,Пошив,5018-33 Синий Ван Гога бархат,Елена
"Чехлы(полный комплект) по 1 шт каждого цвета 

Зелёный чай
Розовая сакура
Кокосовый раф
Спелая дыня
Сиреневая дымка",Чехлы Марсель,"October 26, 2025",,,,Отшито,Пошив,,Елена
Скатерть круг 6 шт и салфетки 20 шт,"Салфетки, Скатерти круглые","November 5, 2025","November 12, 2025",Есть заказ,,Отшито,Пошив,Синий Диор,Кристина
"марсель 13 шт ",Чехлы Марсель,"October 30, 2025",,,,Отшито,Пошив,312-81 Фиолетовый люпин бархат,Людмила
марсель 57 шт,Чехлы Марсель,"November 7, 2025","November 8, 2025",Срочный заказ,,Отшито,Пошив,5018almas- Черный бархат,Елена
"стул марсель 120 шт ",Чехлы Марсель,"November 15, 2025","November 16, 2025",Срочный заказ,,Отшито,Пошив,312-101 Зеленый малахитец,Елена
Квадро 12 шт,Пуф квадро,"November 19, 2025","November 20, 2025",Срочный заказ,,Отшито,Пошив,312-111 Голубой сапфир бархат,Людмила
"Вашингтон 6,5 шт ",Чехлы Вашингтон,"November 13, 2025","November 14, 2025",Срочный заказ,,Отшито,Пошив,312-125 Гранатовый бархат,Людмила
"ремонт сидушки марсель 120 шт(уже меньше по-моему), ДОП РЕЗИНКА",Чехлы Марсель,"February 12, 2026",,,,Изготовление,Пошив,312-101 Зеленый малахитец,Елена
Спинка марсель 10-15шт(сколько выйдет),Чехлы Марсель,"February 27, 2026","March 5, 2026",Есть заказ,,Изготовление,Пошив,5018almas- Черный бархат,Елена
Сидушка марсель 12 шт,Чехлы Марсель,"December 10, 2025",,,,Отшито,Пошив,5018almas- Черный бархат,Людмила
Пуф круг 40 см 10шт,Пуф Круг 40см,"December 10, 2025","December 19, 2025",Есть заказ,,Отшито,Пошив,312-28 Шоколадный бархат,Людмила
ИНВЕНТАРИЗАЦИЯ ткани!!!!,,"December 1, 2025",,Срочный заказ,,Изготовление,Пошив,,Елена
Скатерть круг 330 см 6 шт,Скатерти круглые,"December 8, 2025","December 10, 2025",Срочный заказ,,Отшито,Пошив,999-46 Зеленый малахит,Кристина
Салфетки 85 шт,Салфетки,"December 17, 2025","December 25, 2025",Есть заказ,,Отшито,Пошив,312-73 Красный дракон бархат,Кристина
Пуф круг 60 9 шт и 80 9шт,Пуф круг,"December 3, 2025","December 4, 2025",Срочный заказ,,Отшито,Пошив,Золото парча,Людмила
Покрывало 320 На 210 (из куска отдельного),,"December 19, 2025",,,,Отшито,Пошив,5018-33 Синий Ван Гога бархат,Кристина
Вашингтон 10 шт,Чехлы Вашингтон,"December 20, 2025","December 28, 2025",Есть заказ,,Отшито,Пошив,312-73 Красный дракон бархат,Людмила
Скатерть круг 14 шт,Скатерти круглые,"December 11, 2025","December 12, 2025",Срочный заказ,,Отшито,Пошив,312-28 Шоколадный бархат,Кристина
скатерть круг 30 шт,Скатерти круглые,"December 14, 2025","December 15, 2025",Срочный заказ,,Отшито,Пошив,312-73 Красный дракон бархат,Кристина
(!)ссалфетки 37 шт размером 45 на 45 см (очень важно размер сделать нормальным! клиенту обещали что будет не меньше!!),Салфетки,"December 16, 2025","December 18, 2025",Есть заказ,,Отшито,Пошив,999-46 Зеленый малахит,Кристина
"салфетки 100шт, но лучше больше ",Салфетки,"December 23, 2025","December 26, 2025",Срочный заказ,,Отшито,Пошив,312-73 Красный дракон бархат,Кристина
Салфетка 50шт,Салфетки,"December 15, 2025","December 15, 2025",Срочный заказ,,Изготовление,Пошив,Черный габардин,Кристина
салфетки 12 шт,Салфетки,"December 16, 2025","December 16, 2025",Срочный заказ,,Отшито,Пошив,5018almas- Черный бархат,Кристина
Салфетки 24 шт,Салфетки,"December 22, 2025","December 25, 2025",Есть заказ,,Отшито,Пошив,312-38 Тихий океан,Кристина
Скатерть 380 на 245 прямоуг 2 шт,Скатерти прямоугольные,"December 17, 2025","December 18, 2025",Срочный заказ,,Отшито,Пошив,312-73 Красный дракон бархат,Кристина
Починка пуфики 2 шт,Пуф круг,"December 23, 2025",,,,Изготовление,Пошив,915-21 Малиновый бархат,Кристина
марсель 35 шт+35 шт примерно,Чехлы Марсель,"January 30, 2026",,Срочный заказ,,Отшито,Пошив,5018-33 Синий Ван Гога бархат,Людмила
салфетки 120 шт,Салфетки,"February 4, 2026",,Срочный заказ,,Отшито,Пошив,312-73 Красный дракон бархат,Кристина
скатерть круг 4 шт,Скатерти круглые,"January 28, 2026",,Срочный заказ,,Отшито,Пошив,Серебро Парча,Кристина
квадратный чехол оверсайс со складками,,,,,,Изготовление,Пошив,,
чехол оверсайз со складками на квадро,Пуф квадро,"February 12, 2026",,,,Изготовление,Пошив,новый,Людмила
Отремонтировать пуф 80 см -1 шт,Пуф круг,"February 12, 2026",,,,Отшито,Пошив,Серебро Парча,Кристина
2 шт  пуфа круг 40 см -из цвет габардина,Пуф круг,"February 12, 2026",,,,Отшито,Пошив,Габардин,Кристина
ушить пододеяльник -2шт,Пуф круг,"February 12, 2026",,,,Отшито,Пошив,,Кристина
"Цветок-подушка 50 см диаметром ",Эксперимент,"February 13, 2026",,,,Not started,Пошив,,Елена
Скатерти круг 330 см - 14 шт,Скатерти круглые,"February 11, 2026","February 11, 2026",Срочный заказ,,Отшито,Пошив,Серебро Парча,Кристина
"Шторы 3 шт , высота 175 см ширина 145 см(видимо максимальная), и кармашки под трубу(труба диаметром 5 см) ",Скатерти круглые,"February 11, 2026","February 11, 2026",Срочный заказ,,Отшито,Пошив,Серебро Парча,Кристина
скатерти круг т 330 см - 4шт,Скатерти круглые,"February 12, 2026","February 14, 2026",Есть заказ,,Отшито,Пошив,Серебро Парча,Кристина
Отремонтировать скатерть из парчи 1 шт,Скатерти круглые,"February 12, 2026",,,,Отшито,Пошив,Серебро Парча,Кристина
Прямоуг скатерть 2 шт 410 на 300 см,Скатерти прямоугольные,"February 9, 2026","February 10, 2026",Срочный заказ,,Изготовление,Пошив,Лен овсяное молоко,Елена
Марсель - 90 шт,Чехлы Марсель,"June 12, 2026","June 14, 2026",Есть заказ,,Изготовление,Пошив,312-89 Зеленый чай бархат,Елена
Ремонт Спинка около 10шт,Чехлы Марсель,"February 26, 2026","February 26, 2026",Есть заказ,,Изготовление,Пошив,5018-33 Синий Ван Гога бархат,Елена
Стулья марсель - 36 шт,Чехлы Марсель,"February 18, 2026","February 19, 2026",Срочный заказ,,Отшито,Пошив,312-28 Шоколадный бархат,Людмила
"Стулья марсель - 1шт ",Чехлы Марсель,"February 18, 2026",,,,Отшито,Пошив,312-55 Розовая сакура бархат,Людмила
Стулья марсель -1шт,Чехлы Марсель,"February 18, 2026",,,,Отшито,Пошив,312-99 Рыжая лиса бархат,Людмила
Пуфик Квадро 65 шт,Пуф квадро,"June 14, 2026","June 23, 2026",Есть заказ,,Изготовление,Пошив,999-98 Темная ночь бархат,Людмила
Марсель 70 шт,Чехлы Марсель,"June 14, 2026","June 23, 2026",Есть заказ,,Изготовление,Пошив,999-98 Темная ночь бархат,Людмила
Тиффани сидушки  55 шт,Чехлы Тиффани,"June 30, 2026","July 17, 2026",Есть заказ,,Изготовление,Пошив,999-46 Зеленый малахит,Людмила
"Сшить чехол на стул, салфетки из льна и хлопка с вьюнком и лентой бархата по 1шт (по-моемувыходит 6-8 вариантов ) ",Эксперименты,"February 21, 2026",,,,Отшито,Пошив,Лен,Кристина
"Скатерть прямоуг 4 шт, 295 на 410 ",Скатерти прямоугольные,"March 5, 2026",,,,Отшито,Пошив,312-69 Шалфей бархат,Кристина
"Скатерть прямоуг 4 шт, 295 на 410 ",Скатерти прямоугольные,"March 5, 2026",,,,Отшито,Пошив,999-98 Темная ночь бархат,Кристина
"Скатерть прямоуг 4 шт, 295 на 410 ",Скатерти прямоугольные,"March 5, 2026",,,,Отшито,Пошив,312-19 темно-серый бархат,Кристина
Скатерть круг 8 шт 330 см,Скатерти круглые,"March 5, 2026",,,,Отшито,Пошив,312-106 Серый бархат,Кристина
Скатерть круг 8 шт 330 см,Скатерти круглые,"March 5, 2026",,,,Отшито,Пошив,312-95 Кокосовый раф бархат,Кристина
Скатерть круг 8 шт 330 см,Скатерти круглые,"March 5, 2026",,,,Отшито,Пошив,312-42 Пастельно-сиреневый,Кристина
Салфетка 100шт обычный уголок,Салфетки,"March 9, 2026",,,,Отшито,Пошив,001- Габардин пломбир,Кристина
Салфетка 90 шт обычный уголок(ровные стороны и углы!!),Салфетки,"March 9, 2026",,,,Отшито,Пошив,22 Фисташковый канвас,Кристина
Марсель 25 шт новых+ починить 9 спинок недавно отшитых,Чехлы Марсель,"June 1, 2026","June 5, 2026",Есть заказ,,Отшито,Пошив,312-99 Рыжая лиса бархат,Елена
Салфетки -101 шт,Салфетки,"February 26, 2026","March 3, 2026",Срочный заказ,,Отшито,Пошив,Лен овсяное молоко,Елена
Марсель - 80 шт,Чехлы Марсель,"May 20, 2026",,Есть заказ,,Отшито,Пошив,312-95 Кокосовый раф бархат,Елена
"Салфетки 56шт , с уголком, размер такой же как делали до этого (50 на 50 см?). на складе поменяли- 47 на 47 м, но возможно они посели ?или реально так и делали?",Салфетки,"March 9, 2026","June 26, 2026",Есть заказ,,Отшито,Пошив,Синий Диор,Кристина
"Цветы 12 шт сакура и спелая дыня. 40 см сакура - 3 шт , 30 см желтые -2, 30 см роз- 2, 20 см желт- 3, 20 см роз - 2 шт",Пошив заказ,"February 26, 2026",,Срочный заказ,,Отшито,Пошив,312-55 Розовая сакура бархат,Людмила
скатерть круг 330 см 5 шт (3 шт из вашей ткани. и 2 шт из нашей ткани),Скатерти круглые,"March 9, 2026","March 21, 2026",,,Отшито,Пошив,312-55 Розовая сакура бархат,Кристина
Чехол на стул из плотной ткани со швами наружу. Высота: 91 см Ширина: 40 см Глубина: 41 см,Эксперименты,"March 9, 2026",,,,Отшито,Пошив,,Кристина
"Чехол на стул из тюли ",Эксперименты,"March 9, 2026",,,,Отшито,Пошив,,Кристина
"Скатерти прям 280 на 410 из коричневого сатена 3 шт и 3 салфетки ",Скатерти прямоугольные,"April 19, 2026","April 20, 2026",,,Отшито,Пошив,новый,Кристина
Скатерть круг 340 см диаметр 1 шт,Скатерти круглые,"April 19, 2026",,,,Отшито,Пошив,312-8 Жемчужный бархат,Кристина
Скатерть круг 340 см диаметр 1 шт,Скатерти круглые,"April 19, 2026",,,,Отшито,Пошив,312-125 Гранатовый бархат,Кристина
"Салфетки. 60 шт ",Салфетки,"April 19, 2026",,,,Отшито,Пошив,312-28 Шоколадный бархат,Кристина
Скатерти прямоуг 4 шт 300 на 410 см,Скатерти прямоугольные,"April 19, 2026","April 20, 2026",,,Отшито,Пошив,5018almas- Черный бархат,Кристина
"Марсель - 80 шт ",Чехлы Марсель,"June 11, 2026","June 13, 2026",Есть заказ,,Изготовление,Пошив,312-111 Голубой сапфир бархат,Елена
Салфетки 131 шт,Салфетки,"May 14, 2026","May 16, 2026",Срочный заказ,,Отшито,Пошив,312-61 Гранатовый бархат,Елена
Наволочки на подушки 5 шт,Подушки,"May 27, 2026","May 28, 2026",Срочный заказ,,Отшито,Пошив,312-28 Шоколадный бархат,Людмила
Наволочки на подушки 10 шт,Подушки,"May 22, 2026","May 23, 2026",Срочный заказ,,Отшито,Пошив,312-55 Розовая сакура бархат,Кристина
"Бант из поролона 90 на 50 см. хвосты 240 см ",Бант,"May 24, 2026","May 25, 2026",Есть заказ,,Отшито,Пошив,312-55 Розовая сакура бархат,Кристина
"Бант из поролона 90 на 50 см. хвосты 240 см ",Бант,"May 24, 2026","May 25, 2026",Есть заказ,,Отшито,Пошив,312-125 Гранатовый бархат,Кристина
"Бант из поролона 90 на 50 см. хвосты 240 см  ",Бант,,,Есть заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Кристина
Бант из поролона 90 на 50 см. хвосты 240 см (или красный дракон),Бант,,,Есть заказ,,Отшито,Пошив,999-100 Клубничный,Кристина
Бант из поролона 90 на 50 см. хвосты 240 см  (если нет голуб сапфира можно ваш 312-16),Бант,,,Есть заказ,,Отшито,Пошив,312-111 Голубой сапфир бархат,Кристина
Бант из поролона 90 на 50 см. хвосты 240 см (нужен бежевый какой-то),Бант,,,Есть заказ,,Отшито,Пошив,новый,Кристина
Пуфик 40 см  60 шт,Пуф круг,"May 30, 2026","June 1, 2026",Есть заказ,,Отшито,Пошив,312-52 Фруктовый зефир,Людмила
Пуфик квадро 80шт,Пуф квадро,"June 30, 2026","July 7, 2026",Есть заказ,,Изготовление,Пошив,312-111 Голубой сапфир бархат,Людмила
"Скатерть 680 на 380 см и 20 салфеток. Велюр ","Салфетки, Скатерти прямоугольные","May 26, 2026","May 27, 2026",Срочный заказ,,Отшито,Пошив,новый,Людмила
Чехлы на соломенные стулья 72 шт,Пошив заказ,"June 16, 2026","June 17, 2026",Есть заказ,,Отшито,Пошив,новый,Кристина
"Пуф 40 см полоска 7шт ",Пуф Круг 40см,"June 2, 2026","June 3, 2026",Срочный заказ,,Отшито,Пошив,Полоска красная,Людмила
наволочки на подушки 12 шт,Подушки,"May 29, 2026","May 30, 2026",Срочный заказ,,Отшито,Пошив,312-73 Красный дракон бархат,Людмила
Тумбы  1 набор (5 шт разных по высоте),Тумбы,"May 27, 2026","May 28, 2026",Срочный заказ,,Отшито,Пошив,312-55 Розовая сакура бархат,Людмила
Пуфик квадро 15шт,Пуф квадро,"June 11, 2026","June 13, 2026",Есть заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Людмила
Накидка из фатина 24 шт,Накидка на пуф,"June 2, 2026","June 6, 2026",Срочный заказ,,Отшито,Пошив,Фатин,Людмила
Наволочки на подушки 10 шт,Подушки,"May 31, 2026","June 1, 2026",Срочный заказ,,Отшито,Пошив,999-101 Спелая дыня,Людмила
Наволочки на подушки 10 шт,Подушки,"May 31, 2026","June 1, 2026",Срочный заказ,,Отшито,Пошив,312-57 Фиалковый бархат,Людмила
Юбка на пуф 8 шт,Юбка на пуф,"May 31, 2026","June 1, 2026",Срочный заказ,,Отшито,Пошив,999-101 Спелая дыня,Людмила
Тиффани сидушка 3 шт,Чехлы Тиффани,"June 4, 2026","June 5, 2026",Срочный заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Людмила
Тумба 70 см 1 шт,Тумбы,"June 4, 2026","June 17, 2026",Есть заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Людмила
Скатерть 6 шт круг 330 см,Скатерти круглые,"June 10, 2026",,Есть заказ,,Отшито,Пошив,новый,Алена
бал бла,,,,,,Изготовление,Пошив,,
скатерть 6 шт прямоугольная 295 на 300,Скатерти прямоугольные,"June 10, 2026","June 20, 2026",Есть заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Алена
Наволочка на подушку 6 шт,Подушки,"June 24, 2026","June 26, 2026",Есть заказ,,Изготовление,Пошив,999-101 Спелая дыня,Людмила
Наволочка на подушку 16 шт,Подушки,"June 24, 2026","June 26, 2026",Есть заказ,,Изготовление,Пошив,312-8 Жемчужный бархат,Людмила
Чехол на подиум,Подиум,"June 16, 2026","June 18, 2026",Есть заказ,,Изготовление,Пошив,312-89 Зеленый чай бархат,Людмила
Подушки-сидушки из сатина с ямочками. 10 шт серых и 10 оранж,Оригинальное изделие,"June 29, 2026","June 30, 2026",Есть заказ,,Изготовление,Пошив,новый,Людмила
Пуфик круг 40 см  6шт,Пуф круг,"June 24, 2026","June 26, 2026",Есть заказ,,Изготовление,Пошив,Полоска желтая,Людмила
